GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041363,226,99,127,226,0,1,3.85,58.7012987,43.80530973,56.19469027,100,0
E00041364,474,294,180,352,122,12,3.24,146.2962963,62.02531646,37.97468354,74.26160338,25.73839662
E00041366,214,114,100,214,0,5,1.49,143.6241611,53.27102804,46.72897196,100,0
E00041367,210,118,92,210,0,1,8.6,24.41860465,56.19047619,43.80952381,100,0
E00041368,293,138,155,293,0,1,5.15,56.89320388,47.09897611,52.90102389,100,0
E00041369,371,174,197,371,0,0,7.96,46.6080402,46.90026954,53.09973046,100,0
E00041370,117,67,50,117,0,0,3.4,34.41176471,57.26495726,42.73504274,100,0
E00041371,341,150,191,284,57,0,4.5,75.77777778,43.98826979,56.01173021,83.28445748,16.71554252
E00041372,242,118,124,242,0,0,2.57,94.16342412,48.76033058,51.23966942,100,0
E00041374,107,73,34,107,0,0,3.59,29.80501393,68.22429907,31.77570093,100,0
E00041375,192,105,87,192,0,3,60.43,3.177229853,54.6875,45.3125,100,0
E00041376,140,87,53,140,0,0,1.11,126.1261261,62.14285714,37.85714286,100,0
E00041377,202,109,93,202,0,0,0.85,237.6470588,53.96039604,46.03960396,100,0
E00041378,274,147,127,274,0,0,9.1,30.10989011,53.64963504,46.35036496,100,0
E00041380,100,80,20,100,0,0,4.46,22.42152466,80,20,100,0
E00041381,251,127,124,251,0,0,8.13,30.87330873,50.59760956,49.40239044,100,0
E00041382,175,114,61,175,0,0,2.35,74.46808511,65.14285714,34.85714286,100,0
E00041383,309,138,171,309,0,0,3.63,85.12396694,44.66019417,55.33980583,100,0
E00041384,334,158,176,334,0,3,9.93,33.63544814,47.30538922,52.69461078,100,0
E00041385,260,127,133,203,57,0,1.44,180.5555556,48.84615385,51.15384615,78.07692308,21.92307692
E00041386,283,141,142,283,0,1,10.3,27.47572816,49.82332155,50.17667845,100,0
E00041388,283,147,136,283,0,1,7.65,36.99346405,51.9434629,48.0565371,100,0
E00041389,203,111,92,203,0,1,4.68,43.37606838,54.67980296,45.32019704,100,0
