GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
W00000001,363,186,177,363,0,12,2902.48,0.125065461,51.23966942,48.76033058,100,0
W00000002,257,124,133,257,0,1,51.99,4.943258319,48.24902724,51.75097276,100,0
W00000003,356,181,175,356,0,1,213.39,1.668306856,50.84269663,49.15730337,100,0
W00000004,394,191,203,394,0,4,755.78,0.521315727,48.47715736,51.52284264,100,0
W00000005,507,245,262,507,0,5,103.65,4.89146165,48.3234714,51.6765286,100,0
W00000006,323,157,166,323,0,2,10.87,29.71481141,48.60681115,51.39318885,100,0
W00000008,285,128,157,257,28,4,28.52,9.992987377,44.9122807,55.0877193,90.1754386,9.824561404
W00000009,426,204,222,426,0,8,34.94,12.19232971,47.88732394,52.11267606,100,0
W00000010,287,148,139,287,0,5,116.6,2.461406518,51.56794425,48.43205575,100,0
W00000011,291,143,148,291,0,5,1215.59,0.239389926,49.14089347,50.85910653,100,0
W00000012,287,140,147,287,0,0,92.9,3.08934338,48.7804878,51.2195122,100,0
W00000013,417,192,225,417,0,4,125.88,3.312678742,46.04316547,53.95683453,100,0
W00000014,300,138,162,300,0,6,526.05,0.570287995,46,54,100,0
W00000015,268,138,130,268,0,8,240.97,1.11217164,51.49253731,48.50746269,100,0
W00000016,224,104,120,224,0,6,15.47,14.47963801,46.42857143,53.57142857,100,0
W00000017,240,118,122,240,0,5,4.62,51.94805195,49.16666667,50.83333333,100,0
W00000018,254,118,136,254,0,2,17.42,14.58094145,46.45669291,53.54330709,100,0
W00000019,211,103,108,211,0,5,13.18,16.0091047,48.81516588,51.18483412,100,0
W00000020,216,106,110,216,0,0,4.51,47.89356984,49.07407407,50.92592593,100,0
W00000021,225,108,117,223,2,8,33.5,6.71641791,48,52,99.11111111,0.888888889
W00000022,309,153,156,309,0,11,243.98,1.266497254,49.51456311,50.48543689,100,0
W00000023,306,151,155,306,0,6,863.2,0.354494903,49.34640523,50.65359477,100,0
W00000024,345,176,169,345,0,7,1422.9,0.242462576,51.01449275,48.98550725,100,0
W00000025,283,152,131,283,0,3,222.06,1.274430334,53.71024735,46.28975265,100,0
W00000026,291,144,147,291,0,1,755.26,0.385297778,49.48453608,50.51546392,100,0
W00000027,355,164,191,317,38,8,758.76,0.467868628,46.1971831,53.8028169,89.29577465,10.70422535
W00000028,311,148,163,311,0,0,1495.4,0.207971111,47.58842444,52.41157556,100,0
W00000029,255,118,137,255,0,1,270.92,0.941237266,46.2745098,53.7254902,100,0
W00000030,399,201,198,399,0,7,1282.26,0.311169342,50.37593985,49.62406015,100,0
W00000031,384,192,192,384,0,11,281.14,1.365867539,50,50,100,0
W00000032,235,115,120,235,0,2,5.56,42.26618705,48.93617021,51.06382979,100,0
W00000033,303,156,147,303,0,3,52.73,5.746254504,51.48514851,48.51485149,100,0
W00000034,289,138,151,289,0,5,10.14,28.50098619,47.75086505,52.24913495,100,0
W00000035,423,188,235,365,58,8,114.19,3.704352395,44.44444444,55.55555556,86.28841608,13.71158392
W00000036,269,121,148,269,0,4,6.14,43.81107492,44.98141264,55.01858736,100,0
W00000037,489,235,254,489,0,7,1610.05,0.303717276,48.05725971,51.94274029,100,0
W00000038,405,204,201,391,14,1,82.38,4.916241806,50.37037037,49.62962963,96.54320988,3.456790123
