GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E01000001,1465,767,698,1465,0,21,12.98,112.8659476,52.35494881,47.64505119,100,0
E01000002,1436,767,669,1436,0,22,22.84,62.87215412,53.41225627,46.58774373,100,0
E01000003,1346,714,632,1250,96,12,5.91,227.749577,53.04606241,46.95393759,92.86775632,7.132243685
E01000005,985,528,457,985,0,5,18.96,51.95147679,53.60406091,46.39593909,100,0
E01000006,1703,866,837,1699,4,16,14.66,116.1664393,50.85143864,49.14856136,99.76512038,0.234879624
E01000007,1391,707,684,1391,0,0,20,69.55,50.82674335,49.17325665,100,0
E01000008,1544,817,727,1544,0,21,19.51,79.13890313,52.91450777,47.08549223,100,0
E01000009,1773,999,774,1773,0,23,12.79,138.6239249,56.34517766,43.65482234,100,0
E01000010,2840,1525,1315,2840,0,30,35.21,80.65890372,53.6971831,46.3028169,100,0
E01000011,1634,925,709,1628,6,13,9.17,178.1897492,56.60954712,43.39045288,99.63280294,0.367197062
E01000012,1901,983,918,1895,6,12,13.9,136.7625899,51.70962651,48.29037349,99.68437664,0.315623356
E01000013,1660,797,863,1660,0,11,20.78,79.88450433,48.01204819,51.98795181,100,0
E01000014,1656,777,879,1622,34,8,34.12,48.53458382,46.92028986,53.07971014,97.9468599,2.053140097
E01000015,2241,1049,1192,2241,0,12,28.06,79.86457591,46.80946006,53.19053994,100,0
E01000016,1637,804,833,1637,0,11,19.88,82.34406439,49.11423335,50.88576665,100,0
E01000017,1594,773,821,1594,0,14,15.84,100.6313131,48.49435383,51.50564617,100,0
E01000018,1597,751,846,1597,0,16,17.38,91.8872267,47.02567314,52.97432686,100,0
E01000019,1407,654,753,1407,0,15,18.4,76.4673913,46.48187633,53.51812367,100,0
E01000020,1834,914,920,1773,61,23,18.72,97.97008547,49.83642312,50.16357688,96.67393675,3.32606325
E01000021,1579,803,776,1579,0,17,16.93,93.26639102,50.8549715,49.1450285,100,0
E01000022,1314,618,696,1314,0,14,12.83,102.416212,47.03196347,52.96803653,100,0
E01000023,1112,583,529,1112,0,6,20.72,53.66795367,52.42805755,47.57194245,100,0
E01000024,1336,616,720,1325,11,12,12.86,103.8880249,46.10778443,53.89221557,99.17664671,0.823353293
E01000025,1609,773,836,1609,0,20,15.34,104.8891786,48.04226227,51.95773773,100,0
E01000027,1709,774,935,1688,21,23,147.45,11.59036962,45.28964307,54.71035693,98.77121123,1.228788765
E01000028,1549,715,834,1519,30,4,14.38,107.7190542,46.15881214,53.84118786,98.06326662,1.936733376
E01000029,1602,765,837,1602,0,13,25.69,62.35889451,47.75280899,52.24719101,100,0
E01000030,1915,902,1013,1915,0,9,28.63,66.88787985,47.10182768,52.89817232,100,0
E01000031,1617,784,833,1617,0,23,84.35,19.17012448,48.48484848,51.51515152,100,0
E01000032,1629,816,813,1629,0,15,37.55,43.38215712,50.09208103,49.90791897,100,0
E01000033,1361,652,709,1361,0,8,14.53,93.66827254,47.90595151,52.09404849,100,0
E01000034,1444,653,791,1348,96,17,51.36,28.1152648,45.22160665,54.77839335,93.35180055,6.648199446
E01000035,1610,782,828,1543,67,11,39.71,40.54394359,48.57142857,51.42857143,95.83850932,4.161490683
E01000036,1353,683,670,1353,0,24,41.87,32.31430619,50.4804139,49.5195861,100,0
E01000037,1688,852,836,1547,141,14,23.34,72.32219366,50.47393365,49.52606635,91.64691943,8.353080569
E01000038,1447,687,760,1447,0,10,21.4,67.61682243,47.47753974,52.52246026,100,0
E01000039,1603,758,845,1595,8,12,153.18,10.46481264,47.28633812,52.71366188,99.50093575,0.499064255
E01000040,1569,761,808,1569,0,15,17.07,91.91564148,48.50223072,51.49776928,100,0
E01000041,1682,818,864,1682,0,17,15.26,110.2228047,48.63258026,51.36741974,100,0
E01000042,1788,862,926,1786,2,11,23.12,77.33564014,48.21029083,51.78970917,99.88814318,0.111856823
E01000043,1358,680,678,1356,2,17,26.64,50.97597598,50.0736377,49.9263623,99.85272459,0.147275405
E01000044,1798,915,883,1793,5,18,17.06,105.3927315,50.88987764,49.11012236,99.72191324,0.278086763
E01000045,1650,802,848,1646,4,10,29.83,55.31344284,48.60606061,51.39393939,99.75757576,0.242424242
E01000046,1779,861,918,1779,0,13,15.55,114.4051447,48.39797639,51.60202361,100,0
E01000048,1783,880,903,1783,0,26,6.47,275.5795981,49.35501963,50.64498037,100,0
E01000049,1820,946,874,1820,0,14,21.22,85.76814326,51.97802198,48.02197802,100,0
E01000050,1661,865,796,1661,0,14,13.77,120.6245461,52.07706201,47.92293799,100,0
E01000051,1927,983,944,1927,0,19,6.67,288.9055472,51.01193565,48.98806435,100,0
E01000052,2014,990,1024,2014,0,15,19.97,100.8512769,49.15590864,50.84409136,100,0
E01000053,1485,688,797,1484,1,15,18.09,82.08955224,46.32996633,53.67003367,99.93265993,0.067340067
E01000054,1718,829,889,1718,0,24,17.12,100.3504673,48.25378347,51.74621653,100,0
E01000055,1553,758,795,1553,0,13,14.6,106.369863,48.80875724,51.19124276,100,0
E01000056,1584,748,836,1542,42,14,24.36,65.02463054,47.22222222,52.77777778,97.34848485,2.651515152
E01000057,1496,698,798,1496,0,20,14.77,101.2863913,46.65775401,53.34224599,100,0
E01000058,1849,905,944,1849,0,17,18.22,101.481888,48.94537588,51.05462412,100,0
E01000059,1582,720,862,1540,42,8,20.83,75.9481517,45.51201011,54.48798989,97.34513274,2.654867257
E01000060,1809,848,961,1809,0,18,54.99,32.89689034,46.87672747,53.12327253,100,0
E01000061,1776,822,954,1719,57,19,61.05,29.09090909,46.28378378,53.71621622,96.79054054,3.209459459
E01000062,1952,905,1047,1952,0,9,22.13,88.20605513,46.36270492,53.63729508,100,0
E01000063,1620,805,815,1620,0,8,18.12,89.40397351,49.69135802,50.30864198,100,0
E01000064,1893,872,1021,1831,62,14,20.88,90.66091954,46.06444797,53.93555203,96.72477549,3.275224511
E01000065,1736,815,921,1736,0,11,23.36,74.31506849,46.94700461,53.05299539,100,0
E01000066,1928,924,1004,1928,0,13,24.49,78.72601062,47.9253112,52.0746888,100,0
E01000067,1969,985,984,1969,0,19,19.25,102.2857143,50.0253936,49.9746064,100,0
E01000068,1590,819,771,1575,15,19,33.97,46.8060053,51.50943396,48.49056604,99.05660377,0.943396226
E01000069,1763,875,888,1756,7,31,20.05,87.93017456,49.63131027,50.36868973,99.60294952,0.397050482
E01000070,1975,912,1063,1975,0,22,39.18,50.40837162,46.17721519,53.82278481,100,0
E01000071,2253,1101,1152,2251,2,23,27.06,83.2594235,48.86817577,51.13182423,99.91122947,0.088770528
E01000072,1991,965,1026,1991,0,12,52.02,38.27374087,48.46810648,51.53189352,100,0
