GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E12000001,2596886,1269703,1327183,2550818,46068,22618,857316.93,3.029085172,48.89328989,51.10671011,98.22602917,1.773970825
E12000002,7052177,3464685,3587492,6927820,124357,76565,1410534.6,4.99964836,49.12929724,50.87070276,98.23661545,1.763384555
E12000003,5283733,2598078,2685655,5185677,98056,54976,1540763.62,3.429295014,49.17125828,50.82874172,98.14419086,1.855809141
E12000004,4533222,2234493,2298729,4442192,91030,54416,1560641.67,2.90471675,49.29149731,50.70850269,97.99193598,2.008064022
E12000005,5601847,2763187,2838660,5509535,92312,61499,1299831.58,4.309671411,49.32635611,50.67364389,98.35211494,1.647885064
E12000006,5846965,2875807,2971158,5748605,98360,78159,1910838.21,3.059895374,49.18461116,50.81538884,98.31775973,1.682240273
E12000007,8173941,4033289,4140652,8073700,100241,99779,157215.08,51.99209262,49.34326049,50.65673951,98.77365153,1.226348465
E12000008,8634750,4239298,4395452,8446500,188250,130976,1906964.91,4.528006758,49.09578158,50.90421842,97.81985582,2.180144185
E12000009,5288935,2590608,2698327,5175084,113851,71157,2383736.25,2.218758472,48.98165699,51.01834301,97.84737381,2.15262619
W92000004,3063456,1504228,1559228,3011182,52274,35061,2073510.98,1.477424537,49.10232104,50.89767896,98.29362654,1.706373455
